Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
0.00,33.80,37.10,33.00,29.60,1.00,2.50,0.00,0.00
0.10,34.00,37.20,33.00,29.70,1.00,2.50,0.00,0.00
0.20,34.00,37.20,33.00,29.70,1.10,2.40,0.00,0.00
0.30,34.10,37.00,32.60,29.50,0.80,2.40,0.00,0.00
0.40,34.10,37.00,32.90,29.60,0.30,2.20,0.00,0.00
0.50,34.10,37.00,32.90,29.60,0.80,2.20,0.00,0.00
0.60,34.30,37.20,32.80,29.60,1.10,2.50,0.00,0.00
0.70,34.30,37.10,32.90,29.60,0.80,2.20,0.00,0.00
0.80,34.30,37.10,32.90,29.60,0.80,2.40,0.00,0.00
0.90,34.50,37.10,32.90,29.70,1.00,2.50,0.00,0.00
1.00,34.40,37.10,32.70,29.50,1.00,2.50,0.00,0.00
1.10,34.40,37.10,32.70,29.50,1.00,2.70,0.00,0.00
1.20,34.60,37.20,32.90,29.60,0.80,2.20,0.00,0.00
1.30,34.50,37.20,32.90,29.60,0.70,2.40,0.00,0.00
1.40,34.50,37.20,32.90,29.60,1.00,1.90,0.00,0.00
1.50,34.70,37.20,33.00,29.70,0.70,2.40,0.00,0.00
1.60,34.60,37.00,32.80,29.60,0.70,2.00,0.00,0.00
1.70,34.60,37.00,32.80,29.60,1.00,3.00,0.00,0.00
1.80,34.80,37.00,32.80,29.50,1.00,2.40,0.00,0.00
1.90,34.60,37.00,32.80,29.50,1.10,2.20,0.00,0.00
2.00,34.60,37.00,32.80,29.50,1.10,2.20,0.00,0.00
2.10,34.80,37.10,32.80,29.50,1.00,1.90,0.00,0.00
2.20,35.00,37.10,32.80,29.60,0.20,2.80,0.00,0.00
2.30,35.00,37.10,32.80,29.60,0.30,2.40,0.00,0.00
2.40,35.00,37.10,32.90,29.60,0.70,1.90,0.00,0.00
2.50,35.00,37.10,32.90,29.60,0.70,2.50,0.00,0.00
2.60,35.10,37.20,32.90,29.70,1.10,2.20,0.00,0.00
2.70,35.00,37.10,32.90,29.60,0.30,2.50,0.00,0.00
2.80,35.00,37.10,32.90,29.60,1.00,2.40,0.00,0.00
2.90,35.10,37.20,33.00,29.70,1.00,2.40,0.00,0.00
3.00,35.10,37.10,32.80,29.60,1.00,1.60,0.00,0.00
3.10,35.10,37.10,32.80,29.60,-0.90,2.20,0.00,0.00
3.20,35.00,37.20,32.80,29.60,0.80,2.70,0.00,0.00
3.30,35.10,37.10,33.00,29.60,0.70,2.00,0.00,0.00
3.40,35.10,37.10,33.00,29.60,0.80,2.50,0.00,0.00
3.50,35.10,37.00,32.80,29.50,0.50,1.90,0.00,0.00
3.60,35.10,37.00,32.80,29.50,0.70,2.40,0.00,0.00
3.70,35.30,37.10,33.00,29.70,0.80,2.70,0.00,0.00
3.80,35.30,37.00,32.80,29.60,0.80,1.90,0.00,0.00
3.90,35.30,37.00,32.80,29.60,0.80,1.90,0.00,0.00
4.00,35.00,37.10,32.70,29.40,0.80,2.40,0.01,0.00
4.10,35.10,37.00,32.70,29.60,0.80,2.70,0.00,0.00
4.20,35.10,37.00,32.70,29.60,0.80,2.40,4.35,0.00
4.30,35.20,37.00,32.80,29.60,1.00,2.20,26.72,0.00
4.40,35.20,37.00,32.80,29.60,0.70,2.20,34.50,0.00
4.50,35.20,37.10,32.80,29.50,1.00,2.50,41.22,0.00
4.60,35.20,37.00,32.70,29.60,1.00,2.00,41.94,0.00
4.70,35.20,37.00,32.70,29.60,0.70,1.90,42.87,0.00
4.80,35.30,37.10,32.90,29.60,0.50,2.40,21.36,0.00
4.90,35.30,37.00,32.80,29.60,0.50,2.40,8.25,0.00
5.00,35.30,37.00,32.80,29.60,1.10,2.80,5.85,0.00
5.10,35.30,37.10,32.90,29.70,0.80,2.40,4.53,0.00
5.20,35.30,37.10,32.90,29.70,0.70,1.90,3.62,0.00
5.30,35.20,37.00,32.70,29.60,0.80,2.70,2.94,0.00
5.40,35.30,37.00,32.80,29.60,1.10,1.90,2.45,0.00
5.50,35.30,37.00,32.80,29.60,1.10,1.90,2.10,0.00
5.60,35.30,37.10,32.80,29.60,0.80,2.20,1.72,0.00
5.70,35.30,37.00,32.80,29.50,0.80,2.20,1.48,0.00
5.80,35.30,37.00,32.80,29.50,0.80,2.00,1.34,0.00
5.90,35.30,37.10,32.80,29.50,1.10,2.70,1.10,0.00
6.00,35.40,37.10,32.80,29.60,1.30,2.50,0.99,0.00
6.10,35.40,37.10,32.80,29.60,1.00,2.70,0.89,0.00
6.20,35.50,37.20,32.80,29.60,0.30,1.70,0.82,0.00
6.30,35.50,37.20,32.80,29.60,0.50,2.40,0.66,0.00
6.40,35.30,37.10,32.80,29.50,0.80,2.20,0.63,0.00
6.50,35.50,37.10,32.70,29.50,0.80,1.70,0.52,0.00
6.60,35.50,37.10,32.70,29.50,0.80,1.70,0.47,0.00
6.70,35.40,37.10,32.80,29.60,0.70,2.50,0.41,0.00
6.80,35.40,36.90,32.80,29.60,1.00,2.50,0.38,0.00
6.90,35.40,36.90,32.80,29.60,0.50,2.50,0.34,0.00
7.00,35.60,37.10,32.90,29.60,0.80,2.20,0.28,0.00
7.10,35.50,37.10,32.80,29.50,1.90,1.70,-3.17,0.00
7.20,35.50,37.10,32.80,29.50,1.00,2.40,-1.04,0.00
7.30,35.40,37.20,32.80,29.60,0.70,1.90,-1.09,0.00
7.40,35.10,37.20,32.70,29.60,1.90,1.90,-0.41,0.00
7.50,35.10,37.20,32.70,29.60,1.90,1.90,0.00,0.00
7.60,35.50,37.00,32.80,29.60,1.40,2.40,0.11,0.00
7.70,35.70,37.00,32.70,29.50,1.40,2.40,0.21,0.00
7.80,35.70,37.00,32.70,29.50,1.40,2.20,0.28,0.00
7.90,35.80,37.10,32.80,29.70,1.60,2.20,0.32,0.00
8.00,35.90,37.10,32.90,29.70,1.10,2.20,0.38,0.00
8.10,35.90,37.10,32.90,29.70,-0.90,2.40,0.45,0.00
8.20,35.90,37.00,32.70,29.50,1.30,2.40,0.49,0.00
8.30,35.90,37.00,32.80,29.60,1.40,2.20,0.60,0.00
8.40,35.90,37.00,32.80,29.60,1.40,2.20,0.69,0.00
8.50,36.00,37.20,32.90,29.70,1.40,2.00,0.59,0.00
8.60,35.90,37.10,32.80,29.60,1.30,2.00,0.46,0.00
8.70,35.90,37.10,32.80,29.60,0.80,1.90,0.38,0.00
8.80,35.90,37.10,32.90,29.60,1.30,2.40,0.32,0.00
8.90,35.80,37.10,32.90,29.50,1.00,1.90,0.27,0.00
9.00,35.80,37.10,32.90,29.50,1.00,2.00,0.25,0.00
9.10,35.80,37.00,32.80,29.40,1.10,2.50,0.21,0.00
9.20,36.00,37.10,32.90,29.60,1.30,2.40,0.18,0.00
9.30,36.00,37.10,32.90,29.60,1.30,2.40,0.18,0.00
9.40,35.80,37.00,32.80,29.40,1.00,2.50,0.17,0.00
9.50,35.70,37.00,32.70,29.50,1.40,2.80,0.18,0.00
9.60,35.70,37.00,32.70,29.50,1.10,2.50,0.18,0.00
9.70,35.80,37.00,32.80,29.50,1.70,2.20,0.11,0.00
9.80,35.80,37.10,32.90,29.60,1.00,2.40,0.11,0.00
9.90,35.80,37.10,32.90,29.60,1.60,2.20,0.11,0.00
10.00,35.90,37.10,33.00,29.60,1.40,2.00,0.14,0.00
10.10,35.80,37.10,32.80,29.50,1.00,2.50,0.13,0.00
10.20,35.80,37.10,32.80,29.50,1.00,2.50,0.13,0.00
10.30,35.70,37.10,32.70,29.40,1.40,2.20,0.07,0.00
10.40,35.70,37.10,32.70,29.40,1.30,2.20,0.05,0.00
10.50,35.90,37.10,32.80,29.60,1.60,0.80,0.11,0.00
10.60,36.00,37.00,32.80,29.60,2.80,2.50,75.78,0.00
10.70,36.00,37.00,32.80,29.60,3.30,2.70,75.78,0.00
10.80,36.60,37.00,32.80,29.60,3.40,1.90,2.27,0.00
10.90,37.00,37.10,32.80,29.60,3.60,2.20,2.94,0.00
11.00,37.00,37.10,32.80,29.60,3.70,2.40,16.03,0.00
11.10,37.30,37.00,32.90,29.60,3.90,2.40,44.53,0.00
11.20,37.60,36.90,32.90,29.60,3.90,2.40,45.32,0.00
11.30,37.60,36.90,32.90,29.60,4.30,2.70,45.17,0.00
11.40,37.80,37.00,32.70,29.50,4.30,1.70,45.32,0.00
11.50,37.80,37.00,32.70,29.50,4.30,2.50,49.80,0.00
11.60,38.00,36.90,32.90,29.50,4.00,2.50,51.37,0.00
11.70,38.20,37.10,32.80,29.60,4.70,2.40,51.99,0.00
11.80,38.20,37.10,32.80,29.60,4.80,2.50,52.01,0.00
11.90,38.20,37.00,32.90,29.50,5.10,1.90,52.04,0.00
12.00,38.40,37.00,32.70,29.40,5.40,2.00,51.95,0.00
12.10,38.40,37.00,32.70,29.40,5.40,2.00,51.94,0.00
12.20,38.50,36.90,32.70,29.50,5.10,2.50,51.94,0.00
12.30,38.80,37.10,32.80,29.60,5.70,2.20,51.87,0.00
12.40,38.80,37.10,32.80,29.60,5.70,2.00,51.86,0.00
12.50,38.90,36.90,32.80,29.50,5.90,2.40,51.80,0.00
12.60,38.90,36.80,32.70,29.40,6.00,2.40,51.80,0.00
12.70,38.90,36.80,32.70,29.40,6.70,2.40,51.81,0.00
12.80,39.00,37.00,32.70,29.70,6.00,2.20,51.80,0.00
12.90,39.00,37.10,32.70,29.70,6.50,2.20,51.78,0.00
13.00,39.00,37.10,32.70,29.70,6.50,2.20,51.71,0.00
13.10,39.30,36.80,32.70,29.40,7.30,2.40,51.71,0.00
13.20,39.30,36.80,32.70,29.40,7.00,2.40,51.62,0.00
13.30,39.20,37.00,32.70,29.50,7.00,2.40,51.61,0.00
13.40,39.30,36.90,32.70,29.50,7.70,2.00,51.58,0.00
13.50,39.30,36.90,32.70,29.50,7.40,1.90,51.59,0.00
13.60,39.30,36.70,32.70,29.40,7.70,2.50,51.42,0.00
13.70,39.50,37.00,32.80,29.60,7.00,2.50,50.83,0.00
13.80,39.50,37.00,32.80,29.60,8.20,2.20,50.17,0.00
13.90,39.50,36.90,32.80,29.40,8.20,2.20,49.49,0.00
14.00,39.50,36.80,32.60,29.50,8.20,2.70,49.03,0.00
14.10,39.50,36.80,32.60,29.50,8.20,1.90,49.01,0.00
14.20,39.60,36.90,32.70,29.40,8.70,2.40,48.98,0.00
14.30,39.90,36.90,32.70,29.50,8.70,2.20,48.96,0.00
14.40,39.90,36.90,32.70,29.50,8.80,2.20,48.93,0.00
14.50,40.10,36.90,32.80,29.50,8.80,2.50,48.91,0.00
14.60,40.30,36.90,32.70,29.60,8.80,1.70,48.98,0.00
14.70,40.30,36.90,32.70,29.60,9.10,2.40,48.96,0.00
14.80,40.00,36.80,32.80,29.50,9.40,3.10,48.90,0.00
14.90,40.00,36.80,32.80,29.50,9.40,3.10,48.91,0.00
15.00,40.00,36.80,32.70,29.50,9.70,2.20,48.85,0.00
15.10,40.30,36.90,32.90,29.70,9.60,2.00,48.86,0.00
15.20,40.30,36.90,32.90,29.70,10.00,2.00,48.88,0.00
15.30,40.40,36.80,32.80,29.60,10.00,2.20,48.85,0.00
15.40,40.40,36.70,32.70,29.50,9.90,2.00,48.88,0.00
15.50,40.40,36.70,32.70,29.50,10.00,2.20,48.85,0.00
15.60,40.40,36.90,32.80,29.60,10.20,2.40,48.83,0.00
15.70,40.50,37.00,32.90,29.60,10.50,2.20,48.83,0.00
15.80,40.50,37.00,32.90,29.60,10.50,1.90,48.79,0.00
15.90,40.50,36.80,32.70,29.50,10.40,2.00,48.86,0.00
16.00,40.50,36.70,32.70,29.50,10.70,2.20,48.79,0.00
16.10,40.50,36.70,32.70,29.50,10.80,2.40,48.80,0.00
16.20,40.50,36.80,32.60,29.50,11.10,2.70,48.78,0.00
16.30,40.60,36.80,32.80,29.50,11.90,1.90,48.76,0.00
16.40,40.60,36.80,32.80,29.50,11.30,2.40,48.77,0.00
16.50,40.50,36.80,32.60,29.40,11.30,1.90,48.73,0.00
16.60,40.50,36.80,32.60,29.40,12.20,2.00,48.73,0.00
16.70,40.70,36.70,32.70,29.40,12.20,2.50,48.72,0.00
16.80,40.90,37.00,32.90,29.70,12.20,2.50,48.75,0.00
16.90,40.90,37.00,32.90,29.70,12.50,1.60,48.71,0.00
17.00,40.80,36.90,32.80,29.60,12.50,2.00,48.70,0.00
17.10,40.70,36.80,32.70,29.60,11.90,2.00,48.67,0.00
17.20,40.70,36.80,32.70,29.60,12.40,2.20,49.03,0.00
17.30,40.80,36.90,32.70,29.60,12.50,2.50,50.41,0.00
17.40,40.80,36.90,32.80,29.60,12.70,2.00,50.91,0.00
17.50,40.80,36.90,32.80,29.60,13.10,2.70,51.11,0.00
17.60,41.00,37.00,32.90,29.60,13.40,2.00,51.22,0.00
17.70,40.90,36.80,32.90,29.60,13.40,2.00,51.18,0.00
17.80,40.90,36.80,32.90,29.60,13.40,1.90,51.20,0.00
17.90,40.90,36.90,32.70,29.50,13.30,2.20,51.18,0.00
18.00,41.00,36.80,32.70,29.50,13.90,2.70,51.13,0.00
18.10,41.00,36.80,32.70,29.50,15.10,1.90,51.13,0.00
18.20,40.90,36.90,32.90,29.60,13.70,2.70,51.09,0.00
18.30,41.00,36.80,32.90,29.60,14.00,0.20,51.03,0.00
18.40,41.00,36.80,32.90,29.60,13.70,2.20,51.08,0.00
18.50,40.90,36.90,32.80,29.60,11.90,2.50,51.05,0.00
18.60,40.90,36.90,32.80,29.60,11.90,2.50,51.04,0.00
18.70,41.00,36.80,32.80,29.60,14.80,2.40,51.01,0.00
18.80,41.00,36.90,32.90,29.50,14.40,2.20,50.95,0.00
18.90,41.00,36.90,32.90,29.50,14.80,2.00,50.94,0.00
19.00,41.00,36.80,32.70,29.60,15.10,2.20,50.92,0.00
19.10,41.20,36.80,32.90,29.70,15.10,2.40,50.85,0.00
19.20,41.20,36.80,32.90,29.70,15.60,2.20,50.84,0.00
19.30,41.20,36.70,32.80,29.50,15.60,2.20,50.83,0.00
19.40,41.10,36.70,32.70,29.50,15.60,2.20,50.81,0.00
19.50,41.10,36.70,32.70,29.50,15.90,2.40,50.78,0.00
19.60,41.20,36.80,32.90,29.50,15.90,2.40,50.71,0.00
19.70,41.10,36.80,32.70,29.50,16.70,2.20,50.71,0.00
19.80,41.10,36.80,32.70,29.50,16.20,2.50,50.66,0.00
19.90,41.30,36.80,32.90,29.60,16.40,2.40,50.66,0.00
20.00,41.30,36.80,32.80,29.60,16.50,1.90,50.62,0.00
20.10,41.30,36.80,32.80,29.60,16.70,2.40,50.59,0.00
20.20,41.10,36.80,32.80,29.50,17.40,2.40,50.58,0.00
20.30,41.40,36.80,32.90,29.70,16.80,2.40,50.56,0.00
20.40,41.40,36.80,32.90,29.70,17.00,2.40,50.53,0.00
20.50,41.10,36.70,32.60,29.40,17.30,2.20,50.46,0.00
20.60,41.20,36.80,32.80,29.60,17.30,2.40,50.47,0.00
20.70,41.20,36.80,32.80,29.60,17.40,-0.40,50.44,0.00
20.80,41.30,36.70,32.70,29.40,17.60,1.90,50.37,0.00
20.90,41.30,36.70,32.70,29.40,18.50,2.50,50.37,0.00
21.00,41.30,36.70,32.80,29.60,18.00,-0.40,50.32,0.00
21.10,41.40,36.80,32.80,29.60,18.00,2.20,50.32,0.00
21.20,41.40,36.80,32.80,29.60,18.20,2.00,50.28,0.00
21.30,41.30,36.80,32.70,29.40,18.20,2.00,50.24,0.00
21.40,41.40,36.60,32.70,29.50,19.00,2.40,50.24,0.00
21.50,41.40,36.60,32.70,29.50,19.00,2.40,50.17,0.00
21.60,41.30,36.70,32.70,29.70,19.00,2.00,50.20,0.00
21.70,41.30,36.80,32.80,29.60,19.10,2.50,50.14,0.00
21.80,41.30,36.80,32.80,29.60,18.80,2.00,50.08,0.00
21.90,41.30,36.70,32.80,29.50,19.40,2.50,50.10,0.00
22.00,41.30,36.70,32.80,29.50,19.30,2.50,50.02,0.00
22.10,41.40,36.80,32.80,29.60,17.30,2.50,50.05,0.00
22.20,41.20,36.70,32.60,29.40,19.70,2.50,50.00,0.00
22.30,41.20,36.70,32.60,29.40,19.70,2.70,49.76,0.00
22.40,41.20,36.70,32.90,29.60,19.70,2.70,48.78,0.00
22.50,41.30,36.80,32.70,29.60,19.90,2.50,48.13,0.00
22.60,41.50,36.80,32.90,29.60,19.70,2.70,47.88,0.00
22.70,41.50,36.80,32.90,29.60,20.70,2.20,47.80,0.00
22.80,41.20,36.80,32.80,29.50,20.40,2.50,47.75,0.00
22.90,41.40,36.60,32.80,29.60,18.80,2.70,47.75,0.00
23.00,41.40,36.60,32.80,29.60,21.30,1.90,47.79,0.00
23.10,41.40,36.80,32.90,29.70,20.80,2.20,47.76,0.00
23.20,41.40,36.80,32.90,29.70,20.80,2.40,47.73,0.00
23.30,41.40,36.80,32.80,29.60,19.10,2.20,47.73,0.00
23.40,41.30,36.80,32.90,29.60,19.10,2.20,47.76,0.00
23.50,41.30,36.80,32.90,29.60,21.70,2.20,47.70,0.00
23.60,41.30,36.90,32.80,29.60,22.70,1.90,47.67,0.00
23.70,41.20,36.70,32.70,29.50,21.70,2.70,47.81,0.00
23.80,41.20,36.70,32.70,29.50,21.90,2.20,49.27,0.00
23.90,41.40,36.80,32.70,29.50,22.40,2.20,49.96,0.00
24.00,41.40,36.80,32.70,29.50,22.20,2.20,50.43,0.00
24.10,41.20,36.60,32.70,29.40,21.90,2.00,50.47,0.00
24.20,41.30,36.80,32.80,29.50,22.50,2.50,50.51,0.00
24.30,41.30,36.80,32.80,29.50,22.20,2.40,50.43,0.00
24.40,41.40,36.80,32.80,29.60,22.20,2.40,50.46,0.00
24.50,41.40,36.80,32.80,29.60,24.00,2.20,50.41,0.00
24.60,41.30,36.80,32.80,29.50,22.80,1.90,50.36,0.00
24.70,41.30,36.80,32.80,29.60,22.70,2.50,50.39,0.00
24.80,41.30,36.80,32.80,29.60,23.30,3.70,50.36,0.00
24.90,41.30,36.70,32.70,29.50,23.10,1.90,50.31,0.00
25.00,41.50,36.80,32.90,29.80,23.60,2.50,50.28,0.00
25.10,41.50,36.80,32.90,29.80,23.70,2.00,50.32,0.00
25.20,41.40,36.80,32.80,29.60,23.90,2.00,50.26,0.00
25.30,41.40,36.70,32.80,29.50,23.90,2.00,50.24,0.00
25.40,41.40,36.70,32.80,29.50,24.00,2.00,50.19,0.00
25.50,41.30,36.60,32.70,29.50,24.40,2.40,50.17,0.00
25.60,41.30,36.60,32.70,29.50,24.20,2.40,50.18,0.00
25.70,41.30,36.60,32.70,29.40,24.80,2.20,50.11,0.00
25.80,41.40,36.70,32.80,29.50,24.20,2.40,50.10,0.00
25.90,41.40,36.70,32.80,29.50,24.70,3.00,50.10,0.00
26.00,41.50,36.80,32.80,29.50,24.80,2.70,50.07,0.00
26.10,41.40,36.70,32.80,29.60,25.00,2.40,50.01,0.00
26.20,41.40,36.70,32.80,29.60,25.40,2.20,50.02,0.00
26.30,41.70,36.80,32.90,29.70,25.40,2.20,49.95,0.00
26.40,41.50,36.70,32.90,29.60,25.60,2.20,49.93,0.00
26.50,41.50,36.70,32.90,29.60,25.40,2.40,49.91,0.00
26.60,41.60,36.70,32.70,29.60,25.60,2.40,49.87,0.00
26.70,41.60,36.70,32.70,29.60,25.90,2.40,49.83,0.00
26.80,41.60,36.80,32.90,29.70,26.00,2.80,49.79,0.00
26.90,41.70,36.70,32.80,29.50,25.90,2.40,49.79,0.00
27.00,41.70,36.70,32.80,29.50,26.70,2.20,49.74,0.00
27.10,41.60,36.80,32.80,29.50,26.80,2.00,49.78,0.00
27.20,41.60,36.80,32.80,29.60,26.80,2.00,49.73,0.00
27.30,41.60,36.80,32.80,29.60,26.80,2.50,49.72,0.00
27.40,41.60,36.80,32.90,29.60,27.10,2.50,49.69,0.00
27.50,41.60,36.80,32.90,29.60,27.10,2.40,49.66,0.00
27.60,41.70,36.80,32.80,29.50,27.00,2.40,49.67,0.00
27.70,41.60,36.90,32.90,29.70,26.80,2.40,49.61,0.00
